Year,Institution number,Institution Name,Institution type,Region,Member year,Canadian dollar exchange rate,Rank in ARL investment index,ARL investment index value,Rank in ARL membership index,ARL membership index value,Volumes held,"Volumes added, gross","Volumes added, net",Volumes withdrawn,Monographs purchased,Current serials purchased,Current serials not purchased,Total current serials,Microforms,Government documents,Manuscripts and archives,Cartographic materials,Graphic materials,Sound recordings,Video and film,Computer files,Total interlibrary lending,Total interlibrary borrowing,Group presentations,Presentation participants,Reference queries,Initial circulation,Total circulation,Reserve circulation,Annual gate count,Professional staff,Support staff,Student assistants,Total prof. + support staff,Total prof. + support + student staff,Expenditures for monographs,Expenditures for serials,Expenditures for other materials,Misc. materials expenditures,Total materials expenditures,Expenditures for binding,Professional salaries & wages,Support staff salaries & wages,Student assistant wages,Total salaries & wages,Other operating expenditures,Total library expenditures,Total fulltime students,"Part-time students, undergraduate and graduate",Total fulltime graduate students,Part-time graduate students,Doctor's degrees awarded,Doctor's degree fields,Total teaching faculty,Expenditures for computer files,Expenditures for electronic serials,Total electronic resources expenditures,"Library expenditures for bibliographic utilities, networks, etc.","External expenditures for bibliographic utilities, networks, etc.",Expenditures for computer hardware and software,Expenditures for document delivery and interlibrary loans,Staffed service points,Library service hours,Titles held,Total university expenditures,Electronic books,One-time resource purchases,Ongoing resource purchases,Collection support,"Fringe benefits, dollar amount","Fringe benefits, official designated percent",Number of successful full-text article requests (journals),Number of regular searches (databases),Number of federated searches (databases)
2015,800,BROWN,Private,New England,1932,1,56,-0.304221941,.,.,5650187,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37326,32805,386,6386,7798,132930,.,.,1024365,77,66,28,143,171,.,.,.,.,12230514,.,5320372,3657639,366270,9344281,3292626,24867421,8756,425,2501,132,215,46,870,.,.,.,.,.,.,.,.,.,4377656,825925000,1779411,4227059,7153689,849766,2707204,30.2,1927242,1079920,466
2015,860,CALGARY,Canadian,Canada,2009,1.1739,49,-0.196191163,.,.,4049043,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14848,14773,527,14387,75638,166191,.,.,15315,68,148,20,216,236,.,.,.,.,11896532.92,.,5749840.7,7699204.36,519568.11,13968613.17,1133185.11,26998331.2,27802,2399,5311,493,279,53,1730,.,.,.,.,252308.54,.,.,.,.,3264067,.,975202,1988315.02,8340197.63,1568020.27,3040196.78,20,.,.,.
2015,900,"CALIFORNIA, BERKELEY",State,Pacific,1932,1,6,2.334004406,.,.,12674985,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28199,14366,993,22076,66570,347802,.,.,.,237,116,124,353,477,.,.,.,.,24587046,.,20270904,5926880,2756048,28953832,14379202,67920080,35497,2084,9177,1278,825,94,1620,.,.,.,.,1216513,.,.,.,.,11305796,2648373000,1647508,7998333,15819025,769688,9843725,.,.,.,.
2015,1000,"CALIFORNIA, DAVIS ",State,Pacific,1969,1,86,-0.601052859,.,.,4604128,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24372,16830,737,17569,44139,105581,.,.,2068826,42,73,26,115,141,.,.,.,.,9285616,.,4630793,4133556,509064,9273413,1754439,20313468,33911,597,6597,183,977,73,1605,.,.,.,.,1117514,.,.,.,.,3564767,3919758000,832007,1656201,7565127,64288,4123303,50,.,.,.
2015,1050,"CALIFORNIA, IRVINE",State,Pacific,1981,1,79,-0.540222866,.,.,3680004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14218,16424,749,18218,26066,89863,.,.,1756315,57,105,26,162,188,.,.,.,.,9423686,.,4749348,5275214,462780,10487342,1516521,21427549,29135,916,4996,566,593,51,1172,.,.,.,.,973178,.,.,.,.,3265082,2529696000,1126836,1886413,7321775,215498,4436919,.,.,.,.
2015,1100,"CALIFORNIA, LOS ANGELES",State,Pacific,1937,1,11,1.439550678,.,.,12153191,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32814,34862,2894,35724,50557,452676,.,.,3521945,164,222,125,386,511,.,.,.,.,15547432,.,14214475,11587667,3045163,28847305,11033977,55428714,41967,1272,12934,672,795,80,2007,.,.,.,.,1355117,.,.,.,.,12031415,6316298000,2069996,4738711,9976320,832401,10839998,.,11519455,9286072,223400
2015,1200,"CALIFORNIA, RIVERSIDE",State,Pacific,1979,1,111,-1.095882873,.,.,4769795,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13331,11171,496,12668,12388,71365,.,.,97301,34,55,53,89,142,.,.,.,.,4885279,.,3301063,2363882,489954,6154899,1544186,12584364,21208,361,2763,24,272,53,974,.,.,.,.,699434,.,.,.,.,2901466,799111000,900384,820443,3858289,206547,3262657,34,1392074,664000,0
2015,1300,"CALIFORNIA, SAN DIEGO",State,Pacific,1973,1,47,-0.143895917,.,.,5365746,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17152,4144,520,18492,59422,180338,.,.,1784018,114,113,44,227,271,.,.,.,.,9120403,.,8792537,4562024,1199400,14553961,4500542,28174906,29439,470,5011,88,553,123,1032,.,.,.,.,994487,.,.,.,.,.,4000535000,2313499,1936064,7184339,0,7446422,51,5974475,.,.
2015,1400,"CALIFORNIA, SANTA BARBARA",State,Pacific,1973,1,97,-0.756326279,.,.,3150333,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13949,32112,476,7789,27170,126370,.,.,1278667,45,123,38,168,206,.,.,.,.,5478374,.,3932503,4533869,686971,9153343,4246887,18878604,22715,336,2802,11,360,46,745,.,.,.,.,.,.,.,.,.,8095176,1002033000,765406,1147580,4330794,.,3809873,.,.,.,.
2015,1500,CASE WESTERN RESERVE,Private,East North Central,1969,1,107,-1.00093725,.,.,3300142,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21237,18683,660,10120,6267,64405,.,.,431772,59,29,29,88,117,.,.,.,.,6832565,.,3788058,1109958,586795,5484811,1269189,13586565,9810,961,5044,816,655,58,670,.,.,.,.,241381,.,.,.,.,2679157,874303976,646877,1321815,5353153,157597,1542875,31.5,1660227,1999752,361
2015,1600,CHICAGO,Private,East North Central,1932,1,30,0.32647277,.,.,11012065,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50318,45526,595,10879,23973,209916,.,.,1378632,73,169,48,242,290,.,.,.,.,17911128,.,5980269,6605186,1104205,13689660,3395106,34995894,12760,2540,7059,2454,679,70,2004,.,.,.,.,250000,.,.,.,.,7102514,3375277935,1385286,5111974,12324818,474336,3730512,29.6,8902463,35435516,2339946
2015,1700,CINCINNATI,State,East North Central,1932,1,80,-0.544995467,.,.,4500741,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37046,26277,1314,27995,59778,126172,.,.,1378224,87,43,46,130,176,.,.,.,.,10451640,.,6080477,1497334,816229,8394040,1711837,20557517,31481,12210,5595,5419,690,79,2335,.,.,.,.,858794,.,.,.,.,3692519,1023989499,1533274,1376069,8925998,149573,3139580,35.8,2030112,4147532,0
2015,1800,COLORADO,State,Mountain,1964,1,59,-0.347115816,.,.,7630969,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,87907,36898,1004,25506,33970,217205,.,.,1880090,76,92,48,168,216,.,.,.,.,12973728,.,4321599,4026608,1044711,9392918,1669658,24036304,25675,5757,2331,3544,506,55,1417,.,.,.,.,50564,.,.,.,.,5475305,1280963589,984952,2838133,9020960,1114635,2738121,29,2389064,3394863,9531299
2015,1900,COLORADO STATE,State,Mountain,1975,1,98,-0.77014066,.,.,2383796,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,76538,38109,686,14239,52324,86978,.,.,1595019,55,90,34,145,179,.,.,.,.,8354709,.,4366804,2723403,717344,7807551,1239860,17402120,23610,7744,3154,4602,377,46,1438,.,.,.,.,148185,.,.,.,.,1953851,1000200336,518322,880336,6795833,678540,2781011,25,2357993,1699727,27774
2015,2000,COLUMBIA,Private,Middle Atlantic,1932,1,3,2.590247869,.,.,13305873,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,55100,54661,1508,24510,132977,282141,.,.,4734418,322,194,89,516,605,.,.,.,.,31178000,.,23969431,7409546,1666459,33045436,5201008,69424444,27596,7692,17523,7088,550,109,2348,.,.,.,.,.,.,.,.,.,9368276,3800891000,2193314,9713609,18295332,3169059,10557615,32.5,8417796,47213737,689256
2015,2100,CONNECTICUT,State,New England,1962,1,58,-0.341405953,.,.,3971084,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43175,50891,1073,16508,16702,107933,.,.,1670052,76,54,60,130,190,.,.,.,.,11414580,.,7488521,2988251,483645,10960417,1426591,23801588,29140,4438,4534,2453,591,63,2048,.,.,.,.,1547436,.,.,.,.,2729136,2218286038,667993,976492,9111324,1326764,5991846,67,5069704,5734058,899322
2015,2200,CORNELL,Private,Middle Atlantic,1932,1,9,1.474074846,.,.,9300186,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54661,45819,1523,24173,53624,238066,.,.,3685150,206,179,88,385,473,.,.,.,.,21199087,.,15946889,8078558,916342,24941789,7345482,53486358,22796,77,8356,64,929,111,3238,.,.,.,.,.,.,.,.,.,7187815,2119348796,1254211,.,.,.,7063563,37,4862576,.,.
2015,2300,DARTMOUTH,Private,New England,1932,1,68,-0.4820711,.,.,3396464,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,48211,29899,889,9494,9766,189005,.,.,925500,69,100,27,169,196,.,.,.,.,10646487,.,5112499,3769916,484065,9366480,1998060,22011027,6134,143,1906,82,173,17,864,.,.,.,.,.,.,.,.,.,2820518,907629465,771536,1690336,8702055,254096,3021476,34,1951800,18108613,486136
2015,2350,DELAWARE,State,South Atlantic,1983,1,81,-0.557621244,.,.,3262052,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26607,17658,642,12776,92811,235208,.,.,979941,60,76,19,136,155,.,.,.,.,10910406,.,4885252,2943410,303148,8131810,1445742,20487958,20389,2291,2922,807,274,61,1174,.,.,.,.,.,.,.,.,.,2382331,907536883,447779,2708115,7710045,492246,3604916,35.8,.,1240362,844216
2015,2400,DUKE,Private,South Atlantic,1932,1,20,0.799234406,.,.,7719701,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29262,32989,1423,19946,44250,314881,.,.,3535231,199,107,26,306,332,.,.,.,.,20249177,.,12729676,4271850,441943,17443469,3775543,41468189,15130,726,8529,701,1140,59,1239,.,.,.,.,243375,.,.,.,.,5788356,5171580000,1550959,6478879,13380165,390133,4340540,26,.,.,.
2015,2500,EMORY,Private,South Atlantic,1975,1,19,0.809261799,.,.,4222415,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29260,11546,1065,17535,24825,221618,.,.,1655253,181,94,70,275,345,.,.,.,.,18377447,.,13041986,3769260,1069876,17881122,6016053,42274622,13354,1415,5622,1318,770,38,1954,.,.,.,.,202429,.,.,.,.,3319037,4342497000,704535,5766765,12575028,35654,4397449,25.75,765546,.,.
2015,2600,FLORIDA,State,South Atlantic,1956,1,38,0.021114924,.,.,5445737,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22271,26390,964,15306,22995,247178,.,.,2607694,84,185,40,269,309,.,.,.,.,13188421,.,6388416,6679702,538865,13606983,3820791,30616195,42255,8095,12007,4623,1994,90,3505,.,.,.,.,546064,.,.,.,.,5297140,2602872000,1341336,885394,11839768,463259,4272600,26,3851547,11029554,.
2015,2700,FLORIDA STATE,State,South Atlantic,1962,1,91,-0.656128881,.,.,4063313,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12327,18327,944,22915,89755,114083,.,.,1687729,90,73,79,163,242,.,.,.,.,9445719,.,5472746,2309423,973827,8755996,717377,18919092,35387,6386,5945,2027,817,84,1810,.,.,.,.,142959,.,.,.,.,3323856,1089192745,1244589,959002,8294912,191805,2470416,29,2361357,8637782,1070274
2015,2750,GEORGE WASHINGTON,Private,South Atlantic,1998,1,50,-0.219906579,.,.,3416994,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22609,51619,2127,30436,24358,117671,.,.,1875366,72,94,49,166,215,.,.,.,.,12593754,.,6199876,4306784,765098,11271758,2271620,26137132,17266,8347,7418,6572,959,57,1259,.,.,.,.,.,.,.,.,.,2755663,1236193000,660141,2203913,8540264,1849577,2846894,25,3660105,3765127,132706
2015,2800,GEORGETOWN,Private,South Atlantic,1962,1,39,-0.006215473,.,.,4862231,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,48383,26071,3016,26970,49524,180448,.,.,1642595,98,99,50,197,247,.,.,.,.,13414673,.,7637664,4545649,798549,12981862,3228436,29624971,14416,3442,7190,3073,955,29,998,.,.,.,.,4978,.,.,.,.,4076985,1176603000,1833936,3851079,9264652,298942,4133840,37,3175149,1820828,65204
2015,2900,GEORGIA,State,South Atlantic,1967,1,53,-0.285232986,.,.,5156322,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30652,9303,1459,24631,37854,183663,.,.,2845456,78,152,58,230,288,.,.,.,.,13178359,.,4536262,4938860,729520,10204642,1735013,25118014,31868,3329,6497,1818,892,101,1774,.,.,.,.,.,.,.,.,.,4105758,1321399791,653288,2282259,10144236,751864,3114953,30.5,3446779,9475346,1569191
2015,2950,GEORGIA TECH,State,South Atlantic,1983,1,103,-0.896065056,.,.,2351903,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12206,13438,335,7881,11820,96247,.,.,1396718,52,56,3,108,111,.,.,.,.,7920323,.,3676120,2456087,57477,6189684,1172301,15282308,19084,4025,5831,2596,553,37,1054,.,.,.,.,.,.,.,.,.,1037409,1436558192,307439,169417,7709328,41578,1791406,29.8,.,.,.
2015,3000,GUELPH,Canadian,Canada,1979,1.1739,105,-0.9679245,.,.,2205059,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20012,14389,2250,36977,14291,58106,.,.,1401601,53,60,12,113,125,.,.,.,.,6673996.93,.,4294755.94,2165281.54,193558.22,6653595.71,820943.86,14148536.5,20291,2155,2087,224,160,.,760,.,.,.,.,.,.,.,.,.,2013750,.,630758,1161453.28,4777832.01,734711.64,1874295.08,28.2,2960262,.,.
2015,3100,HARVARD,Private,New England,1932,1,1,5.16895431,.,.,20367538,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50189,51839,1736,25594,119168,628333,.,.,.,423,320,.,743,743,.,.,.,.,45878762,.,36431795,15407161,3230503,55069459,10208335,111156556,20430,8361,13230,5222,1529,117,1683,.,.,.,.,1317129,.,.,.,.,14533494,4463089000,1318179,15804122,20146135,9928505,23458267,32.2,11004600,5006113,134714
2015,3200,HAWAII,State,Pacific,1976,1,71,-0.499935992,.,.,3525607,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5064,19495,616,9009,16074,108516,.,.,1427581,92,56,44,148,192,.,.,.,.,10546436,.,6153983,2632354,924663,9711000,1132335,21389771,15265,5049,3524,2664,494,63,1718,.,.,.,.,.,.,.,.,.,3112866,989711573,443122,690976,9427446,428014,3710928,45.46,2689377,3533766,51556
2015,3300,HOUSTON,State,West South Central,1975,1,65,-0.43429611,.,.,3579861,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29592,19294,767,19553,36819,83299,.,.,2113617,82,64,48,146,194,.,.,.,.,12265343,.,5375965,2324311,670802,8371078,1634393,22270814,29743,11171,5770,2229,727,62,1456,.,.,.,.,.,.,.,.,.,2660490,972243850,765577,1264381,9593596,1407366,2079853,31,1467265,4252558,971509
2015,3400,HOWARD,Private,South Atlantic,1971,1,114,-1.182976287,.,.,2794808,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7531,1081,268,6254,39527,38553,.,.,306263,26,46,28,72,100,.,.,.,.,4445835,.,1927892,1779897,412121,4119910,2867681,11433426,8732,2825,2572,1023,105,28,1055,.,.,.,.,6000,.,.,.,.,1260154,842148000,193988,567631,3695165,183039,922474,29.1,135203,1725346,0
2015,3490,"ILLINOIS, CHICAGO",State,East North Central,1988,1,90,-0.637917553,.,.,2783948,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19536,13671,899,16103,30404,66510,.,.,2103516,68,76,32,144,176,.,.,.,.,9328112,.,4492333,3143741,386538,8022612,2259950,19610674,23263,4706,6161,3447,969,58,1917,.,.,.,.,.,.,.,.,.,2132841,2709369168,487836,1131077,8190402,6633,2881091,37.73,4176275,42860865,153999
2015,3500,"ILLINOIS, URBANA",State,East North Central,1932,1,14,1.065827024,.,.,14297276,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,82869,61302,1654,26845,108221,411997,.,.,4949288,172,168,96,340,436,.,.,.,.,19534520,.,12847002,7460240,2692851,23000093,4428147,46962760,41414,3726,9672,2509,1134,92,2224,.,.,.,.,.,.,.,.,.,8574844,2586487077,982635,4877286,13758076,899158,7546011,39.14,7822340,44934581,.
2015,3600,INDIANA,State,East North Central,1932,1,26,0.466903035,.,.,10121934,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36187,32730,989,16114,24137,365705,.,.,2248088,157,144,107,301,408,.,.,.,.,17410242,.,9325673,3878957,2091945,15296575,4264890,36971707,37670,8746,6300,3697,761,91,2091,.,.,.,.,229540,.,.,.,.,7497691,1492193010,1971380,6497866,10219881,692495,5287446,39.76,.,.,.
2015,3700,IOWA,State,West North Central,1932,1,34,0.272245278,.,.,7626022,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45028,22207,1295,19154,42245,149394,.,.,2356088,112,85,48,197,245,.,.,.,.,19127173,.,7004485,4276929,870345,12151759,1890681,33169613,24424,5546,4878,2738,344,75,1416,.,.,.,.,.,.,.,.,.,5690081,2888984000,1797865,3235495,15196636,695042,4253877,36,3909969,7121451,3982405
2015,3800,IOWA STATE,State,West North Central,1932,1,74,-0.508542061,.,.,2882167,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21742,10311,452,15607,11061,91288,.,.,2047055,48,72,23,120,143,.,.,.,.,12851066,.,3185084,3412293,356233,6953610,1425525,21230201,30871,3564,3436,2106,321,81,1491,.,.,.,.,.,.,.,.,.,2458372,1169360661,408828,1884454,10763166,203446,2525272,.,665419,1473555,1501046
2015,3900,JOHNS HOPKINS,Private,South Atlantic,1932,1,21,0.783973689,.,.,4826081,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,51446,39505,619,14509,20995,177363,.,.,1695232,121,102,35,223,258,.,.,.,.,19455966,.,10384917,3103929,711141,14199987,8496956,42152909,13758,7968,7105,7652,515,57,1270,.,.,.,.,175986,.,.,.,.,3915475,5091368000,1439588,3037779,16182661,235526,4650070,34.5,7748399,10955244,0
2015,4100,KANSAS,State,West North Central,1932,1,69,-0.485164549,.,.,4657692,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31746,19186,927,17703,26274,175057,.,.,1482752,60,105,55,165,220,.,.,.,.,10109543,.,4442654,4921454,833763,10197871,2040328,22347742,23578,4018,6243,2010,985,102,2176,.,.,.,.,.,.,.,.,.,4918944,1194203648,937567,1907121,7709748,492674,3025274,18.43,1880010,1324248,34655
2015,4200,KENT STATE,State,East North Central,1974,1,113,-1.130479353,.,.,3370479,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7192,11031,498,10470,28192,167448,.,.,743500,48,18,35,66,101,.,.,.,.,5783934,.,3598845,758595,563254,4920694,773161,11477789,30225,10988,3423,2780,145,49,1349,.,.,.,.,798474,.,.,.,.,2705698,557363864,986775,919498,4158177,706259,1784197,36.7,0,0,526126
2015,4300,KENTUCKY,State,East South Central,1952,1,77,-0.521539653,.,.,4661676,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23436,17741,867,16305,23179,102806,.,.,1410871,91,76,47,167,214,.,.,.,.,10314130,.,5910937,2241878,495356,8648171,2159435,21121736,26469,2734,5779,1201,870,78,1351,.,.,.,.,.,.,.,.,.,3540514,2641130361,1154543,1384716,8173949,755465,2648803,27,3364581,1828421,157087
2015,4350,LAVAL,Canadian,Canada,1985,1.1739,76,-0.514353762,.,.,4239683,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14747,5562,497,13506,47382,276648,.,.,827907,65,140,10,205,215,.,.,.,.,10762133.91,.,4247257.01,5317090.04,338401.91,9902748.96,920018.74,21584901.61,30679,12770,7225,3685,336,74,1364,.,.,.,.,.,.,.,.,.,2081405,.,212123,1947377.97,8501400.46,313355.48,2406289.29,28,3860520,5660016,0
2015,4400,LOUISIANA STATE,State,West South Central,1938,1,100,-0.808699108,.,.,5061589,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15391,15691,842,19114,6630,41093,.,.,1129331,61,62,29,123,152,.,.,.,.,8737827,.,3899539,2236135,456522,6592196,1305066,16635089,27931,3587,4736,1205,520,52,1358,.,.,.,.,116123,.,.,.,.,5168275,1104694912,812027,1593318,6931030,213479,2420948,42,1498756,1666069,41737
2015,4420,LOUISVILLE,State,East South Central,2002,1,95,-0.747021221,.,.,2472523,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19203,21852,895,17992,23796,100344,.,.,2202804,58,63,27,121,148,.,.,.,.,9888306,.,3489827,2115533,477062,6082422,1571640,17542368,17317,5282,3966,1634,556,35,1795,.,.,.,.,.,.,.,.,.,1745947,975450000,62115,578996,9042447,266863,2107972,28.5,1130837,661728,0
2015,4500,MCGILL,Canadian,Canada,1932,1.1739,43,-0.109271747,.,.,6250039,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10616,15584,555,18136,64723,225879,.,.,2364203,87,80,18,167,185,.,.,.,.,16058734.99,.,4883795.04,4816333.59,284772.98,9984901.61,1367429.93,27411066.53,32350,7147,9461,3001,929,97,3240,.,.,.,.,.,.,.,.,.,4934060,.,2194601,3410438.71,12648296.28,0,1645495.36,28,2491095,1175273,.
